month,zipcode,avg_hours
2024-01,00000,26.76
2024-01,07201,727.2
2024-01,10000,232.81
2024-01,10001,277.11
2024-01,10002,208.12
2024-01,10003,117.2
2024-01,10004,71.92
2024-01,10005,218.54
2024-01,10006,105.3
2024-01,10007,544.78
2024-01,10009,243.16
2024-01,10010,418.01
2024-01,10011,249.98
2024-01,10012,191.38
2024-01,10013,498.98
2024-01,10014,257.07
2024-01,10016,837.42
2024-01,10017,288.59
2024-01,10018,250.73
2024-01,10019,259.85
2024-01,10020,284.67
2024-01,10021,460.74
2024-01,10022,267.04
2024-01,10023,809.26
2024-01,10024,344.88
2024-01,10025,385.02
2024-01,10026,213.49
2024-01,10027,252.76
2024-01,10028,470.68
2024-01,10029,288.34
2024-01,10030,128.34
2024-01,10031,196.66
2024-01,10032,219.44
2024-01,10033,256.09
2024-01,10034,248.61
2024-01,10035,229.57
2024-01,10036,165.58
2024-01,10037,260.57
2024-01,10038,171.68
2024-01,10039,159.04
2024-01,10040,253.24
2024-01,10041,189.22
2024-01,10044,157.07
2024-01,10045,0.27
2024-01,10048,88.52
2024-01,10065,494.46
2024-01,10069,168.74
2024-01,10075,304.39
2024-01,10103,1037.6
2024-01,10105,7.84
2024-01,10106,0.73
2024-01,10107,20.41
2024-01,10111,0.29
2024-01,10112,0.0
2024-01,10118,259.34
2024-01,10119,251.01
2024-01,10120,17.69
2024-01,10121,627.15
2024-01,10128,434.17
2024-01,10151,34.01
2024-01,10153,443.86
2024-01,10154,0.6
2024-01,10155,24.96
2024-01,10162,1859.8
2024-01,10165,840.95
2024-01,10166,6.28
2024-01,10167,31.32
2024-01,10168,97.0
2024-01,10169,11.32
2024-01,10170,51.23
2024-01,10171,2290.93
2024-01,10172,1454.47
2024-01,10178,33.74
2024-01,10179,21.09
2024-01,10271,1.6
2024-01,10278,0.4
2024-01,10279,0.94
2024-01,10280,734.1
2024-01,10281,687.83
2024-01,10282,241.93
2024-01,10301,230.45
2024-01,10302,219.14
2024-01,10303,197.62
2024-01,10304,191.32
2024-01,10305,195.77
2024-01,10306,184.99
2024-01,10307,228.69
2024-01,10308,165.82
2024-01,10309,329.91
2024-01,10310,236.34
2024-01,10312,417.43
2024-01,10314,137.13
2024-01,10451,249.36
2024-01,10452,249.09
2024-01,10453,250.55
2024-01,10454,229.91
2024-01,10455,280.55
2024-01,10456,222.84
2024-01,10457,213.21
2024-01,10458,192.78
2024-01,10459,337.94
2024-01,10460,198.02
2024-01,10461,137.98
2024-01,10462,193.16
2024-01,10463,141.05
2024-01,10464,189.18
2024-01,10465,232.6
2024-01,10466,142.13
2024-01,10467,177.86
2024-01,10468,226.14
2024-01,10469,247.54
2024-01,10470,130.42
2024-01,10471,279.03
2024-01,10472,243.63
2024-01,10473,238.13
2024-01,10474,198.32
2024-01,10475,262.41
2024-01,10522,12.15
2024-01,11001,805.25
2024-01,11004,973.1
2024-01,11005,58.55
2024-01,11040,197.96
2024-01,11101,191.28
2024-01,11102,233.96
2024-01,11103,342.62
2024-01,11104,142.97
2024-01,11105,240.82
2024-01,11106,145.25
2024-01,11109,38.3
2024-01,11201,149.7
2024-01,11203,321.71
2024-01,11204,236.35
2024-01,11205,189.26
2024-01,11206,332.45
2024-01,11207,284.86
2024-01,11208,299.28
2024-01,11209,271.0
2024-01,11210,351.37
2024-01,11211,323.81
2024-01,11212,326.92
2024-01,11213,251.64
2024-01,11214,326.12
2024-01,11215,264.52
2024-01,11216,236.91
2024-01,11217,299.8
2024-01,11218,193.34
2024-01,11219,211.44
2024-01,11220,289.39
2024-01,11221,250.62
2024-01,11222,212.77
2024-01,11223,144.98
2024-01,11224,206.43
2024-01,11225,363.73
2024-01,11226,211.49
2024-01,11228,275.72
2024-01,11229,257.38
2024-01,11230,197.85
2024-01,11231,334.1
2024-01,11232,633.91
2024-01,11233,272.11
2024-01,11234,550.95
2024-01,11235,222.93
2024-01,11236,290.15
2024-01,11237,371.84
2024-01,11238,440.68
2024-01,11239,64.5
2024-01,11241,208.97
2024-01,11242,737.12
2024-01,11249,247.84
2024-01,11251,46.25
2024-01,11354,314.96
2024-01,11355,228.92
2024-01,11356,76.08
2024-01,11357,821.13
2024-01,11358,376.65
2024-01,11359,1718.99
2024-01,11360,482.44
2024-01,11361,421.17
2024-01,11362,599.75
2024-01,11363,556.04
2024-01,11364,527.82
2024-01,11365,199.67
2024-01,11366,80.0
2024-01,11367,390.45
2024-01,11368,119.25
2024-01,11369,219.02
2024-01,11370,226.87
2024-01,11372,184.31
